BlobName,NumZeroCells,NumNonZerosCells
conv1_3x3_s2,7374947,12908701
conv2_3x3_s1,3216606,16655202
conv3_3x3_s1,34857265,43425615
conv4_3x3_reduce,14159667,14468973
conv4_3x3,27367545,136345863
inception_a1_1x1,788246,3238634
inception_a1_5x5_reduce,673597,1603139
inception_a1_5x5,2292252,2500068
inception_a1_3x3_reduce,1365406,2661474
inception_a1_3x3_1,4139658,5712438
inception_a1_3x3_2,3642146,6209950
inception_a1_pool_proj,391545,630663
inception_a2_1x1,1393332,2633548
inception_a2_5x5_reduce,458932,1817804
inception_a2_5x5,1678825,3113495
inception_a2_3x3_reduce,1506232,2520648
inception_a2_3x3_1,3490145,6361951
inception_a2_3x3_2,5646627,4205469
inception_a2_pool_proj,2343544,1683336
inception_a3_1x1,2203127,1823753
inception_a3_5x5_reduce,964484,1312252
inception_a3_5x5,2411722,2380598
inception_a3_3x3_reduce,1403780,2623100
inception_a3_3x3_1,3766805,6085291
inception_a3_3x3_2,1601999,8250097
inception_a3_pool_proj,2764066,1262814
reduction_a_3x3,10429036,25348244
reduction_a_3x3_2_reduce,1336035,2690845
reduction_a_3x3_2,4980090,4872006
reduction_a_3x3_3,640673,1612831
inception_b1_1x1_2,3154188,4257012
inception_b1_1x7_reduce,1623048,1679352
inception_b1_1x7,1184179,3108941
inception_b1_7x1,4192276,5442284
inception_b1_7x1_reduce,1170449,2131951
inception_b1_7x1_2,2055230,2237890
inception_b1_1x7_2,2061150,2231970
inception_b1_7x1_3,2071773,2221347
inception_b1_1x7_3,7382524,2252036
inception_b1_1x1,5298325,2112875
inception_b2_1x1_2,3160533,4250667
inception_b2_1x7_reduce,2364724,2787276
inception_b2_1x7,2565412,4132188
inception_b2_7x1,5777625,3856935
inception_b2_7x1_reduce,2241359,2910641
inception_b2_7x1_2,2787122,3910478
inception_b2_1x7_2,3039990,3657610
inception_b2_7x1_3,3790833,2906767
inception_b2_1x7_3,6844556,2790004
inception_b2_1x1,4346152,3065048
inception_b3_1x1_2,4554655,2856545
inception_b3_1x7_reduce,3192678,1959322
inception_b3_1x7,2777213,3920387
inception_b3_7x1,4744186,4890374
inception_b3_7x1_reduce,3090689,2061311
inception_b3_7x1_2,3322232,3375368
inception_b3_1x7_2,3689574,3008026
inception_b3_7x1_3,3980715,2716885
inception_b3_1x7_3,7078494,2556066
inception_b3_1x1,5223101,2188099
inception_b4_1x1_2,5930904,1480296
inception_b4_1x7_reduce,4786910,2624290
inception_b4_1x7,5215945,4418615
inception_b4_7x1,9068145,566415
inception_b4_7x1_reduce,4370231,3040969
inception_b4_7x1_2,5255572,4378988
inception_b4_1x7_2,6134969,3499591
inception_b4_7x1_3,7145786,2488774
inception_b4_1x7_3,8814992,819568
inception_b4_1x1,6882501,528699
reduction_b_3x3_reduce,2994433,4416767
reduction_b_3x3,3219586,1916414
reduction_b_1x7_reduce,2720443,4690757
reduction_b_1x7,6321611,3312949
reduction_b_7x1,7141129,2493431
reduction_b_3x3_2,1204519,648281
inception_c1_1x1_2,2172610,1114430
inception_c1_1x3_reduce,3018372,1712508
inception_c1_1x3,4043679,1869921
inception_c1_3x1,3757811,2155789
inception_c1_3x3_reduce,3888328,2548536
inception_c1_3x3,3809179,3582821
inception_c1_1x3_2,4991046,922554
inception_c1_3x1_2,5003740,909860
inception_c1_1x1,925887,259905
inception_c2_1x1_2,600890,2686150
inception_c2_1x3_reduce,4189116,541764
inception_c2_1x3,2712040,3201560
inception_c2_3x1,2479059,3434541
inception_c2_3x3_reduce,5262356,1174508
inception_c2_3x3,7025105,366895
inception_c2_1x3_2,3242394,2671206
inception_c2_3x1_2,2890924,3022676
inception_c2_1x1,417944,767848
