Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
31	-200.0	0.0	-200.0	-200.0	200.0	-62.46028	0.0019694488	-62.452568	-62.46452	128000	-0.0028468256	595.63074	0.0	-0.00048828125	1.0882648	5.0663945e-10	28.892749309539795
32	-200.0	0.0	-200.0	-200.0	200.0	-62.4715	0.0020623077	-62.45636	-62.475594	132000	-0.0013102858	595.6594	0.0	-0.00010681152	1.0881517	-9.387732e-10	29.763846158981323
33	-200.0	0.0	-200.0	-200.0	200.0	-62.478848	0.0026374666	-62.462803	-62.483837	136000	-0.0017572367	595.6804	0.0	-0.00045776367	1.0879258	-5.5134297e-10	30.722664833068848
34	-200.0	0.0	-200.0	-200.0	200.0	-62.482796	0.00317699	-62.463318	-62.488052	140000	-0.0023593083	595.6844	0.0	-0.00021362305	1.0875834	7.301569e-10	31.584268808364868
35	-200.0	0.0	-200.0	-200.0	200.0	-62.48618	0.0022352377	-62.476112	-62.491005	144000	-0.0010177526	595.695	0.0	-7.6293945e-05	1.0869949	7.748604e-10	32.49451661109924
36	-200.0	0.0	-200.0	-200.0	200.0	-62.487595	0.0022217496	-62.4725	-62.491817	148000	0.0012772732	595.701	0.0	-1.5258789e-05	1.0863756	-3.129244e-10	33.364847898483276
37	-200.0	0.0	-200.0	-200.0	200.0	-62.488388	0.002308105	-62.478756	-62.493057	152000	0.0005999543	595.71606	0.0	-3.0517578e-05	1.0859113	1.6391274e-10	34.18198609352112
38	-200.0	0.0	-200.0	-200.0	200.0	-62.488983	0.00226596	-62.480053	-62.493088	156000	-0.0057326388	595.7035	0.0	-0.00010681152	1.0855148	-3.4272674e-10	35.0027596950531
39	-200.0	0.0	-200.0	-200.0	200.0	-62.489162	0.00259681	-62.477814	-62.494095	160000	0.0014575005	595.7017	0.0	-0.00033569336	1.0846575	1.3262034e-09	35.9851861000061
40	-200.0	0.0	-200.0	-200.0	200.0	-62.48956	0.0023314839	-62.472294	-62.494995	164000	0.00013042986	595.7145	0.0	-1.5258789e-05	1.0839577	-1.2069941e-09	36.775765895843506
41	-200.0	0.0	-200.0	-200.0	200.0	-62.48951	0.002908128	-62.474037	-62.494736	168000	-0.002085214	595.7114	0.0	3.0517578e-05	1.083327	-8.791685e-10	37.731632232666016
