Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
78	-200.0	0.0	-200.0	-200.0	200.0	-62.490093	0.0052070864	-62.461067	-62.500687	316000	0.008445924	595.70856	0.0	-0.00015258789	1.0774648	1.5050173e-09	70.89163422584534
79	-200.0	0.0	-200.0	-200.0	200.0	-62.488823	0.0065420293	-62.460552	-62.499844	320000	0.0002967561	595.6977	0.0	-0.0013427734	1.0784857	8.0466267e-10	71.84373235702515
80	-200.0	0.0	-200.0	-200.0	200.0	-62.489517	0.0071328925	-62.44605	-62.501602	324000	0.0014666105	595.6524	0.0	-0.04283142	1.0793121	-4.4703485e-10	72.6762797832489
81	-200.0	0.0	-200.0	-200.0	200.0	-62.48443	0.013977384	-62.380035	-62.50804	328000	0.0042285635	595.5725	0.0	-0.4576416	1.0801561	1.0430812e-10	73.64206600189209
82	-200.0	0.0	-200.0	-200.0	200.0	-62.343754	0.08941405	-61.938557	-62.497677	332000	-8.77477e-05	594.97766	0.0	-5.346924	1.0811236	-1.4156103e-09	74.42925262451172
83	-200.0	0.0	-200.0	-200.0	200.0	-61.96375	1.3597238	-54.68234	-63.524113	336000	0.003190969	584.6387	0.0	-12.764755	1.0819676	1.6540288e-09	75.24684357643127
84	-200.0	0.0	-200.0	-200.0	200.0	-62.60836	3.8561459	-44.99456	-64.961266	340000	0.0030570084	597.7068	0.0	-3.7141876	1.0828735	3.2782563e-10	76.17109155654907
85	-200.0	0.0	-200.0	-200.0	200.0	-62.89281	2.5612946	-47.96378	-63.998684	344000	-0.000113334274	590.46765	0.0	-0.9286499	1.0839446	3.2782552e-10	77.04893016815186
86	-200.0	0.0	-200.0	-200.0	200.0	-62.504257	2.2521944	-46.48473	-63.287888	348000	0.003161526	587.2359	0.0	-0.7486725	1.0848938	-5.3644184e-10	77.94921135902405
87	-200.0	0.0	-200.0	-200.0	200.0	-62.087055	2.4056594	-45.06604	-62.8259	352000	-0.0016163057	592.9744	0.0	-1.7217102	1.0860181	-1.2367964e-09	78.74065971374512
88	-200.0	0.0	-200.0	-200.0	200.0	-62.997536	1.6203681	-50.293587	-63.536774	356000	0.0023525862	592.867	0.0	-0.52641296	1.0868127	-1.0877846e-09	79.6550920009613
89	-200.0	0.0	-200.0	-200.0	200.0	-62.312763	1.962727	-50.794582	-63.144253	360000	0.0045639277	590.89136	0.0	-0.61354065	1.0877318	4.3213366e-10	80.486891746521
90	-200.0	0.0	-200.0	-200.0	200.0	-62.32205	1.8046397	-52.17546	-63.37707	364000	-0.0020052094	588.32605	0.0	-1.7203064	1.0888419	-4.3213366e-10	81.3178722858429
91	-200.0	0.0	-200.0	-200.0	200.0	-62.381454	2.5803702	-50.192986	-63.46749	368000	0.0048059532	590.31226	0.0	-2.4890137	1.0896018	-6.705522e-10	82.22648644447327
92	-200.0	0.0	-200.0	-200.0	200.0	-62.12415	2.7988982	-47.994457	-63.085327	372000	-0.0014458168	591.15344	0.0	-1.2844086	1.0905883	-3.5762787e-10	83.00978803634644
93	-200.0	0.0	-200.0	-200.0	200.0	-62.747368	1.9018657	-48.252113	-63.234383	376000	-0.0021819398	595.7449	0.0	-7.45459	1.0913426	4.4703485e-10	83.89093589782715
94	-200.0	0.0	-200.0	-200.0	200.0	-63.056156	2.340322	-50.11105	-64.05018	380000	0.00090117	596.99	0.0	-1.7461853	1.0917945	6.8545336e-10	84.74283909797668
95	-200.0	0.0	-200.0	-200.0	200.0	-61.647522	2.9825425	-51.12033	-63.470997	384000	-0.00077716843	577.49646	0.0	-9.166763	1.0922923	-7.0035455e-10	85.65957355499268
96	-200.0	0.0	-200.0	-200.0	200.0	-62.807964	2.5913134	-52.78585	-63.82084	388000	-0.0005010911	589.4801	0.0	-1.1266174	1.0926483	-7.0035455e-10	86.46253752708435
97	-200.0	0.0	-200.0	-200.0	200.0	-62.40297	2.549031	-50.68388	-63.345078	392000	-0.0015242619	587.54675	0.0	-13.8624115	1.092916	2.9802272e-11	87.2461268901825
98	-200.0	0.0	-200.0	-200.0	200.0	-63.151867	1.5065168	-47.526703	-64.32358	396000	-0.0025856574	583.74646	0.0	-21.570602	1.093039	1.9818545e-09	88.17659878730774
99	-200.0	0.0	-200.0	-200.0	200.0	-61.724552	4.726673	-46.57249	-65.575035	400000	0.002429734	579.1975	0.0	-5.747299	1.092957	-1.3411044e-09	89.01666617393494
100	-200.0	0.0	-200.0	-200.0	200.0	-62.452705	3.0196798	-51.289467	-64.93977	404000	0.0006457078	582.8924	0.0	-4.065872	1.0930701	-3.7252906e-10	89.98019337654114
101	-200.0	0.0	-200.0	-200.0	200.0	-62.587387	2.5049996	-50.111855	-65.45518	408000	-0.0032740994	568.69666	0.0	-13.755417	1.0932174	1.0579824e-09	90.836110830307
102	-200.0	0.0	-200.0	-200.0	200.0	-61.67766	5.2388153	-43.90258	-67.01777	412000	-0.0009326609	553.3188	0.0	-20.981125	1.0931085	-2.3394824e-09	91.74382162094116
103	-200.0	0.0	-200.0	-200.0	200.0	-61.973442	6.8222866	-23.48777	-68.10037	416000	-0.0018132273	549.7484	0.0	-17.896782	1.0929277	8.940698e-11	92.54974293708801
104	-200.0	0.0	-200.0	-200.0	200.0	-63.668877	5.17781	-40.339256	-67.950516	420000	-0.0010747383	589.54706	0.0	-7.7789	1.0926535	-2.2351743e-09	93.37971806526184
105	-200.0	0.0	-200.0	-200.0	200.0	-61.235607	5.946653	-36.80416	-66.482155	424000	-0.0019759124	570.3137	0.0	-11.527626	1.0923023	4.768372e-10	94.22182965278625
106	-200.0	0.0	-200.0	-200.0	200.0	-62.598915	3.7661057	-44.428986	-66.4531	428000	-0.0021034034	578.2694	0.0	-17.825142	1.0918491	4.4703488e-10	95.06173777580261
107	-200.0	0.0	-200.0	-200.0	200.0	-62.467052	5.787115	-34.37495	-67.84213	432000	0.0018164217	533.8015	0.0	-6.6326447	1.0912361	2.8312208e-10	96.04590725898743
108	-200.0	0.0	-200.0	-200.0	200.0	-63.203445	4.671613	-35.702198	-67.87873	436000	0.0038442342	566.7532	0.0	-11.206207	1.0908272	9.685754e-10	96.87019228935242
109	-200.0	0.0	-200.0	-200.0	200.0	-59.936398	11.115788	-7.334263	-70.83637	440000	0.0045695603	591.62146	0.0	-54.61402	1.090714	-2.682209e-10	97.7975709438324
110	-200.0	0.0	-200.0	-200.0	200.0	-61.247066	5.8797703	-42.8546	-71.040886	444000	-0.001478903	528.1847	0.0	-11.596306	1.0909694	1.1771918e-09	98.61493563652039
111	-200.0	0.0	-200.0	-200.0	200.0	-61.410595	8.612824	-27.808702	-70.50598	448000	-0.002818564	577.65466	0.0	-20.476532	1.0910656	3.2782557e-10	99.55455780029297
112	-200.0	0.0	-200.0	-200.0	200.0	-63.01338	5.069822	-32.277905	-70.919846	452000	-0.0013852203	593.0366	0.0	-14.620911	1.0909605	9.536744e-10	100.35759496688843
113	-200.0	0.0	-200.0	-200.0	200.0	-62.892326	3.769723	-38.250244	-65.9206	456000	-0.0016508895	576.7279	0.0	-8.460251	1.0907755	2.786517e-09	101.35400748252869
114	-200.0	0.0	-200.0	-200.0	200.0	-62.06786	5.2367063	-32.18443	-67.73313	460000	-0.0027677666	536.5698	0.0	-9.467491	1.0905039	4.9173837e-10	102.27495050430298
115	-200.0	0.0	-200.0	-200.0	200.0	-61.091415	7.5246415	-29.790106	-68.46529	464000	-0.002936358	543.9468	0.0	-18.306023	1.0900264	7.8976153e-10	103.12605094909668
116	-200.0	0.0	-200.0	-200.0	200.0	-62.749382	8.328358	-17.450285	-69.99011	468000	-0.00030193198	552.56964	0.0	-15.826012	1.0893716	1.8328428e-09	104.11342215538025
117	-200.0	0.0	-200.0	-200.0	200.0	-61.85035	6.144395	-30.769754	-68.10691	472000	0.0012311209	562.6538	0.0	-3.7696533	1.0887198	6.705523e-10	104.93439960479736
118	-200.0	0.0	-200.0	-200.0	200.0	-61.653522	6.3727345	-26.735332	-68.25837	476000	-0.0026155254	560.52185	0.0	-9.371429	1.08823	-2.0861624e-10	105.9102053642273
119	-200.0	0.0	-200.0	-200.0	200.0	-64.4277	4.517602	-45.753296	-69.60663	480000	-0.0008700362	595.1577	0.0	-22.178162	1.0875628	3.4272674e-10	106.74492478370667
120	-200.0	0.0	-200.0	-200.0	200.0	-61.457603	5.5834517	-27.609865	-67.65587	484000	0.0020344662	559.3511	0.0	-7.0972977	1.0868907	2.682209e-10	107.68841671943665
121	-200.0	0.0	-200.0	-200.0	200.0	-62.553043	6.79661	-28.975363	-67.99884	488000	0.0031765373	596.6652	0.0	-22.116486	1.0864125	-5.9604643e-10	108.49513339996338
122	-200.0	0.0	-200.0	-200.0	200.0	-62.20827	2.031051	-46.770626	-64.917534	492000	0.0014335075	578.3696	0.0	-62.452637	1.0862192	1.0430817e-10	109.36146593093872
123	-200.0	0.0	-200.0	-200.0	200.0	-62.01585	8.729699	-21.019087	-70.49676	496000	0.0034634983	515.8291	0.0	-11.738823	1.0861259	-5.5134297e-10	110.26980519294739
