Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
32	34.403507	19.00264	106.0	9.0	34.403507	19.766066	8.680287	29.20296	0.19346172	132000	-0.0453489	110.25963	0.0	-1.9720726	0.6636553	3.3527614e-10	23.32292938232422
33	37.528847	18.546696	130.0	11.0	37.528847	19.896551	8.413931	29.871773	0.38684934	136000	-0.039435092	120.558784	0.0	-7.987116	0.6650151	6.109476e-10	24.02910828590393
34	38.227722	22.760431	141.0	11.0	38.227722	20.442265	8.255456	28.517673	-0.12437943	140000	-0.04231617	145.34338	0.0	-6.695986	0.6641191	-1.8328429e-09	24.6929771900177
35	37.23077	21.901102	127.0	10.0	37.23077	21.628511	9.495362	30.642626	0.4716619	144000	-0.04414889	141.89397	0.0	-3.2905235	0.65996575	-1.04308145e-10	25.4514901638031
36	37.61905	21.160782	111.0	12.0	37.61905	20.495127	9.148062	30.423807	0.71706843	148000	-0.04174815	123.740524	0.0	-3.2688885	0.66178644	-5.587935e-10	26.15109133720398
37	36.019417	21.0888	104.0	9.0	36.019417	21.03491	9.041779	31.040466	0.074202485	152000	-0.041493602	169.46698	0.0	-9.839605	0.6601164	5.5134297e-10	26.83137845993042
38	41.591396	21.10661	97.0	8.0	41.591396	23.065248	9.490093	31.969072	0.20086378	156000	-0.04607129	127.321556	0.0	-4.661688	0.658961	7.450582e-12	27.528088331222534
39	39.414143	22.45265	156.0	9.0	39.414143	22.421188	9.515086	32.69671	-0.014927551	160000	-0.039861646	139.8475	0.0	-3.3332691	0.65799826	-1.7881391e-10	28.219690322875977
40	42.141304	21.691303	119.0	14.0	42.141304	21.744158	8.901127	31.886189	0.38624084	164000	-0.039355595	132.32553	0.0	-5.6664677	0.65729225	6.3329936e-10	28.939435482025146
41	43.55056	26.297354	133.0	12.0	43.55056	21.900063	9.887639	32.90551	0.11630015	168000	-0.03378256	190.39267	0.0	-12.7802925	0.6573086	-5.6624416e-10	29.6110520362854
42	44.13793	23.733759	127.0	13.0	44.13793	25.505129	9.907736	35.68719	-0.119794935	172000	-0.03989547	144.18474	0.0	-7.7913685	0.65498817	-9.909272e-10	30.291266202926636
43	40.791668	22.817627	114.0	12.0	40.791668	24.354853	10.456374	34.63136	-0.24402508	176000	-0.047882784	124.0527	0.0	-9.857906	0.65215456	4.0233136e-10	30.981852293014526
44	46.011906	26.983458	125.0	12.0	46.011906	23.036476	10.201241	34.85241	0.25132036	180000	-0.038971223	169.01059	0.0	-12.7938	0.65344584	1.3709068e-09	31.623233556747437
45	42.692307	23.828918	136.0	11.0	42.692307	24.265024	11.042803	36.38161	0.816745	184000	-0.05051394	137.25166	0.0	-4.9981327	0.6507313	3.1292438e-10	32.31060552597046
46	47.317074	25.97507	130.0	15.0	47.317074	23.58596	9.697001	35.224224	0.120126575	188000	-0.045176923	176.46439	0.0	-12.646502	0.64999664	-1.8626445e-10	33.02959895133972
47	50.394737	34.170654	243.0	13.0	50.394737	25.383257	10.822504	37.37553	-0.14775884	192000	-0.044791646	253.65198	0.0	-20.891666	0.64896345	5.8114535e-10	33.68245077133179
