Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
28	-36.152534	1.7104493	-33.600426	-37.9435	999.0	-3.315858	0.17058174	-2.6486945	-3.4712236	116000	-0.08695945	0.6192336	0.0	-0.0053611174	0.91103333	1.2367964e-09	20.785266160964966
29	-36.27404	1.0269512	-34.69165	-37.40338	999.0	-3.3225918	0.09802117	-2.8207743	-3.4296114	120000	-0.0747874	0.49581528	0.0	-0.013030261	0.9107481	9.0897084e-10	21.419851779937744
30	-35.614944	1.9032061	-32.60604	-37.73774	999.0	-3.3051324	0.12784335	-2.6361098	-3.4173737	124000	-0.079874896	0.6007053	0.0	-0.010478735	0.91046476	2.0116567e-10	22.118980169296265
31	-36.04019	2.1722932	-33.207275	-38.34585	999.0	-3.1276386	0.22330892	-2.24885	-3.3128302	128000	-0.09730068	0.629369	0.0	-0.020893142	0.9101813	-1.4901163e-09	22.80742907524109
32	-36.271294	2.0431929	-33.76306	-38.668156	999.0	-3.3217177	0.18178847	-2.3799398	-3.4707127	132000	-0.093833655	0.6968372	0.0	-0.0084061995	0.90989506	-2.1830202e-09	23.418293952941895
33	-36.523487	2.6159887	-32.401047	-39.134483	999.0	-3.2666624	0.17823486	-2.4427385	-3.425005	136000	-0.092348054	0.5371682	0.0	-0.0045864657	0.9096055	2.9802327e-10	24.085378408432007
34	-36.951035	0.7402302	-35.715286	-37.67422	999.0	-3.2612827	0.29213142	-1.7408025	-3.4779701	140000	-0.084309936	0.72809196	0.0	-0.03511986	0.9093149	-2.7567149e-10	24.779542207717896
35	-36.104904	0.99118745	-35.141613	-37.44086	999.0	-3.3881757	0.09457297	-2.9776058	-3.4899852	144000	-0.07074217	0.6459525	0.0	-0.021539949	0.90902305	-1.2144445e-09	25.4372718334198
36	-35.70054	1.2193227	-33.93077	-37.072063	999.0	-3.2651355	0.063956074	-2.8890667	-3.3370788	148000	-0.086625054	0.66362095	0.0	-0.00860142	0.90873724	-3.427267e-10	26.117446660995483
37	-36.91688	0.36394256	-36.412655	-37.337048	999.0	-3.1601548	0.150082	-2.3859956	-3.2785323	152000	-0.08205865	0.6580579	0.0	-0.0427353	0.9084492	-3.874302e-10	26.823749780654907
38	-35.04883	0.3049946	-34.740612	-35.525734	999.0	-3.2610934	0.14641996	-2.401161	-3.3918242	156000	-0.07504667	0.53058004	0.0	-0.036598414	0.9081615	-4.917383e-10	27.45893359184265
39	-37.224617	1.2557595	-35.104588	-38.31318	999.0	-3.2443588	0.17674525	-2.4595015	-3.408448	160000	-0.09819342	0.7896041	0.0	-0.023150846	0.907877	-2.0116566e-09	28.13123655319214
40	-36.34077	0.9957184	-35.521378	-38.03503	999.0	-3.2476957	0.2670602	-1.7184913	-3.465919	164000	-0.08476689	0.7023824	0.0	-0.025516324	0.9075873	1.5124679e-09	28.8231303691864
41	-36.76448	1.3164163	-35.87725	-39.039955	999.0	-3.3662221	0.04827247	-3.1430707	-3.4161456	168000	-0.08301449	0.60603327	0.0	-0.0057273656	0.9072983	-1.4826655e-09	29.440226316452026
42	-35.41352	1.0577459	-34.175953	-36.53425	999.0	-3.3332207	0.041886367	-3.0772681	-3.3706641	172000	-0.086181775	0.6820851	0.0	-0.04364208	0.9070088	-1.1026859e-09	30.140104293823242
